Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
8,1,10/08/2012,2,9,1,31,2,1,8,5,3,0,1,10
8,1,19/06/2012,0,1,0,16,2,1,3,2,1,1,0,6
8,1,23/06/2012,0,2,0,3,2,1,3,3,0,1,0,6
8,1,24/06/2012,0,1,0,7,2,1,2,2,0,1,0,5
8,1,28/06/2012,0,1,0,10,2,1,3,3,0,1,0,5
8,1,29/07/2012,0,1,0,6,2,1,7,2,5,1,0,9
8,1,30/06/2012,0,1,0,15,2,1,2,2,0,1,0,4
351,37,01/07/2012,0,1,0,12,2,1,4,3,1,0,0,4
351,37,02/07/2012,0,1,0,11,2,1,4,3,1,0,0,4
351,37,03/06/2012,0,5,0,20,2,1,4,3,1,0,0,4
351,37,05/08/2012,0,4,0,10,2,1,4,3,1,0,0,4
351,37,09/06/2012,0,3,0,8,2,1,4,3,1,0,0,4
351,37,13/06/2012,0,2,0,9,2,1,4,3,1,0,0,4
351,37,17/06/2012,0,11,0,31,2,1,4,3,1,0,0,4
351,37,22/05/2012,0,2,0,21,2,1,4,3,1,0,0,4
351,37,22/06/2012,0,10,0,23,2,1,4,3,1,0,0,4
351,37,24/06/2012,0,3,1,7,2,1,4,3,1,0,0,4
351,37,28/06/2012,0,2,0,22,2,1,4,3,1,0,0,4
351,37,29/06/2012,0,8,0,21,2,1,4,3,1,0,0,4
351,37,30/06/2012,2,8,0,28,2,1,4,3,1,0,0,4
351,52,21/07/2012,0,2,0,2,2,1,4,2,2,1,0,5
363,16,29/06/2012,0,5,1,9,1,1,9,2,7,4,0,13
369,2A,30/06/2012,0,3,0,6,2,1,3,1,2,1,0,5
369,2B,04/08/2012,1,4,0,20,2,1,4,2,2,0,0,4
369,2B,13/06/2012,1,8,0,21,2,1,10,3,7,1,0,11
369,2B,17/07/2012,1,9,0,39,2,1,2,1,1,0,0,2
369,2B,19/06/2012,2,6,0,22,2,1,6,4,2,1,0,7
369,2B,20/06/2012,0,11,0,20,2,1,9,3,6,0,0,9
369,2B,23/06/2012,0,1,0,3,2,1,7,3,4,1,0,8
369,2B,24/06/2012,0,2,0,8,2,1,5,3,2,1,0,6
369,2B,27/05/2012,4,12,0,37,2,1,1,1,0,0,0,1
369,2B,28/06/2012,0,2,0,12,2,1,5,3,2,1,0,6
369,2B,30/06/2012,0,3,0,6,2,1,4,3,1,0,0,4
369,2C/22,07/06/2012,2,4,0,25,2,1,7,3,4,1,0,8
369,2C/22,17/07/2012,1,9,0,39,2,1,4,2,2,1,0,5
369,2C/22,19/06/2012,2,6,0,22,2,1,4,2,2,1,0,5
369,2C/22,20/06/2012,0,11,0,20,2,1,5,2,3,1,0,6
369,2C/22,27/05/2012,4,12,0,37,2,1,7,3,4,1,0,8
369,2C/22,28/05/2012,0,1,0,1,2,1,5,2,3,1,0,6
369,2C/22,28/07/2012,0,6,0,24,2,1,4,2,2,1,0,5
369,2C/22,29/07/2012,1,7,0,27,2,1,4,2,2,1,0,5
374,16,01/07/2012,0,1,0,13,2,1,3,2,1,4,0,7
374,16,03/08/2012,0,2,0,5,2,1,2,1,1,4,0,6
374,16,06/06/2012,0,6,0,25,2,1,4,2,2,4,0,8
374,16,09/07/2012,0,1,0,18,2,1,3,2,1,3,0,6
374,16,10/06/2012,1,5,0,33,2,1,4,2,2,4,0,8
374,16,10/08/2012,0,4,0,14,2,1,5,3,2,1,0,7
374,16,12/08/2012,0,7,1,21,2,1,5,3,2,2,0,7
374,16,14/06/2012,0,2,0,12,2,1,4,2,2,4,0,8
374,16,16/06/2012,0,6,0,27,2,1,4,2,2,4,0,8
374,16,18/07/2012,0,2,0,10,2,1,2,1,1,4,0,6
374,16,24/07/2012,0,1,0,10,2,1,1,1,0,4,0,5
374,16,29/06/2012,0,2,0,8,2,1,9,2,7,4,0,13
446,37,01/07/2012,0,4,0,13,2,1,4,3,1,0,0,4
446,37,02/07/2012,0,6,0,17,2,1,4,3,1,0,0,4
446,37,03/06/2012,0,12,0,44,2,1,4,3,1,0,0,4
446,37,05/08/2012,0,5,0,9,2,1,4,3,1,0,0,4
446,37,09/06/2012,0,1,0,1,2,1,4,3,1,0,0,4
446,37,13/06/2012,2,2,0,7,2,1,4,3,1,0,0,4
446,37,17/06/2012,1,11,0,39,2,1,4,3,1,0,0,4
446,37,22/05/2012,0,5,0,29,2,1,4,3,1,0,0,4
446,37,22/06/2012,1,6,0,22,2,1,4,3,1,0,0,4
446,37,24/06/2012,0,6,0,17,2,1,4,3,1,0,0,4
446,37,28/06/2012,2,6,0,26,2,1,4,3,1,0,0,4
446,37,29/06/2012,0,8,0,24,2,1,4,3,1,0,0,4
446,37,30/06/2012,0,4,0,21,2,1,4,3,1,0,0,4
482,29D,02/07/2012,0,4,0,10,2,1,4,3,1,3,0,7
482,29D,04/08/2012,0,1,0,1,2,1,4,4,0,2,0,6
482,29D,10/07/2012,0,1,0,9,2,1,4,3,1,3,0,7
482,29D,12/06/2012,0,7,0,17,2,1,5,4,1,3,0,8
482,29D,12/08/2012,0,1,0,13,2,1,6,4,2,1,4,11
482,29D,13/07/2012,0,1,0,4,2,1,5,3,2,1,0,6
482,29D,13/08/2012,0,1,0,2,2,1,4,4,0,1,1,6
482,29D,14/06/2012,0,2,0,6,2,1,5,3,2,3,0,8
482,29D,14/08/2012,0,2,0,5,2,1,2,1,1,1,0,3
482,29D,16/08/2012,0,5,0,19,2,1,6,4,2,1,3,10
482,29D,17/08/2012,0,2,0,20,2,1,6,4,2,1,1,8
482,29D,18/06/2012,0,1,0,5,2,1,5,4,1,3,0,8
